sID,sentence,is_stressor,is_stressor_conf,is_covid,is_covid_conf,original_label,top_label,second_label,avg_severity,median_severity,SD_severity,Votes,Financial Problem,Other,Everyday Decision Making,Emotional Turmoil,School,Family Issues,Social Relationships,Work,"Health, Fatigue, or Physical Pain",Source,is_seed
641,i am struggling to find the rest of the money due to pay my electri boill for the month,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Emotional Turmoil,5.8,6,1.6,6,0.9,0,0,0.1,0,0,0,0,0,mTurk_synthetic,0
642,I am struggling with anxiety recently and worried because it consumes a lot of my life.,1,100.00%,0,60.00%,"Health, Fatigue, or Physical Pain",Social Relationships,Emotional Turmoil,6.6,7,1.62,7,0.2,0,0,0.3,0,0,0.4,0,0.1,mTurk_synthetic_covid,0
643,i am struggling with feeling valuable in the workplace.,1,80.00%,0,100.00%,Work,Work,Emotional Turmoil,3.4,4,2.33,6,0,0.1,0,0.1,0,0,0,0.8,0,mTurk_synthetic,0
644,i am struggling with my son and his school not following his iep plan.,1,100.00%,0,100.00%,School,School,Social Relationships,4.8,5,2.14,7,0,0,0,0,0.8,0.1,0.1,0,0,mTurk_synthetic,1
645,I am stuck at home because of the coronavirus!,1,100.00%,1,100.00%,Other,Emotional Turmoil,Other,5,5,1.1,7,0,0.3,0.1,0.5,0,0,0,0,0.1,mTurk_synthetic_covid,0
646,I am super bugged by being trapped in the house during quarentine!,1,100.00%,1,100.00%,Emotional Turmoil,Other,Everyday Decision Making,5.2,6,2.48,7,0.1,0.4,0.2,0.1,0,0,0.1,0,0.1,mTurk_synthetic_covid,0
647,i am taking 18 credits this semester.,1,100.00%,0,100.00%,School,School, ,5.6,5,2.15,5,0,0,0,0,1,0,0,0,0,mTurk_synthetic,1
648,i am trying my best and dont seem to be getting ahead.,1,100.00%,0,100.00%,Work,Other,Everyday Decision Making,4.4,4,0.49,6,0.1,0.4,0.2,0,0,0,0.2,0.1,0,mTurk_synthetic,0
649,i am trying to balance my finances with the hobbies i want to partake in.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Everyday Decision Making,3.2,2,1.94,6,0.7,0.1,0.2,0,0,0,0,0,0,mTurk_synthetic,0
650,i am trying to find a new job but having a hard time applying.,1,100.00%,0,100.00%,Work,Work,Financial Problem,4.6,5,1.02,7,0.4,0,0,0.1,0,0,0,0.5,0,mTurk_synthetic,0
651,i am trying to get full custody of my child and am undergoing a custody evaluation.,1,100.00%,0,100.00%,Social Relationships,Family Issues,Social Relationships,6.4,7,2.8,7,0,0,0,0.1,0,0.6,0.3,0,0,mTurk_synthetic,0
652,i am trying to interact with a person who at times is in a bad mood,1,80.00%,0,100.00%,Social Relationships,Social Relationships,Other,2.4,2,1.85,5,0,0.2,0,0,0,0,0.8,0,0,popbots_live,1
653,i am trying to write my thesis,1,80.00%,0,100.00%,Work,School,Other,3.6,5,2.24,5,0,0.2,0,0,0.8,0,0,0,0,mTurk_synthetic,1
654,I am unable to travel to see family,1,100.00%,1,60.00%,Family Issues,Family Issues,Social Relationships,3.4,3,0.49,8,0,0,0,0.1,0,0.7,0.2,0,0,mTurk_synthetic_covid,0
655,I am unable to work because of the Covid 19. It is so stressful,1,100.00%,1,100.00%,Work,Work,Financial Problem,7.2,7,0.98,9,0.4,0,0,0,0,0,0,0.6,0,mTurk_synthetic_covid,0
656,I am under a lot of deadlines at work.,1,100.00%,0,60.00%,Work,Work,Financial Problem,5,5,1.1,6,0.2,0,0,0,0.1,0,0,0.7,0,mTurk_synthetic_covid,0
657,i am undermined by my seniors,1,100.00%,0,80.00%,Work,Social Relationships,Work,4.2,4,1.33,5,0.2,0,0,0,0,0,0.4,0.4,0,mTurk_synthetic_covid,0
658,I am upset because I can't go to grad school this fall.,1,100.00%,1,60.00%,School,School,Social Relationships,4.4,4,0.8,6,0,0,0,0.1,0.7,0,0.2,0,0,mTurk_synthetic_covid,0
659,I AM VERY  MUCH STRESSFUL BECAUSE OF MY HEALTH PROBLEM,1,100.00%,0,80.00%,Work,"Health, Fatigue, or Physical Pain", ,7.6,7,1.36,5,0,0,0,0,0,0,0,0,1,mTurk_synthetic_covid,0
660,"I am very concerned about the coronavirus, and my finances.",1,100.00%,1,100.00%,Financial Problem,Financial Problem,"Health, Fatigue, or Physical Pain",6.6,7,1.36,7,0.4,0.1,0,0.2,0,0,0,0,0.3,mTurk_synthetic_covid,0
661,i am very happy to your meeting that i am very happy,0,100.00%,0,100.00%,Emotional Turmoil,Other, ,0,0,0,5,0,1,0,0,0,0,0,0,0,mTurk_synthetic,0
662,i am very poor right now.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Emotional Turmoil,5.6,6,1.85,5,0.8,0,0,0.2,0,0,0,0,0,mTurk_synthetic,1
663,I am very stressed about being stuck in the house during COVID-19,1,100.00%,1,100.00%,Other,Emotional Turmoil,Social Relationships,5,4,1.67,7,0,0,0,0.4,0,0.2,0.3,0,0.1,mTurk_synthetic_covid,0
664,I am very stressed about COVID-19,1,100.00%,1,100.00%,Other,"Health, Fatigue, or Physical Pain",Emotional Turmoil,6.2,6,1.6,8,0.1,0.1,0,0.3,0,0,0,0,0.5,mTurk_synthetic_covid,0
665,I am very stressed out about the coronavirus-19.  I haven't been able to check my parent,1,100.00%,1,100.00%,Family Issues,Family Issues,"Health, Fatigue, or Physical Pain",7.4,7,1.02,8,0,0,0,0,0,0.7,0,0,0.3,mTurk_synthetic_covid,0
666,I am very stressed right now thinking about the coronavirus.,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain",Emotional Turmoil,"Health, Fatigue, or Physical Pain",5.4,5,0.49,6,0,0.1,0.2,0.4,0,0,0,0,0.3,mTurk_synthetic_covid,0
667,I am very stressing about to stay home for a long time,1,100.00%,1,100.00%,Financial Problem,Social Relationships,School,5.2,6,1.72,5,0.2,0,0,0.2,0.2,0,0.4,0,0,mTurk_synthetic_covid,0
668,I am wondering if the current virus situation is going to affect my job.,1,100.00%,1,100.00%,Work,Work,Social Relationships,3.8,3,2.32,5,0,0,0,0,0,0,0.2,0.8,0,mTurk_synthetic_covid,0
669,I am worried about being laid-off at work.,1,100.00%,1,80.00%,Work,Work,Financial Problem,5.8,6,0.98,6,0.1,0,0,0,0,0,0,0.9,0,mTurk_synthetic_covid,0
670,I am worried about COVID-19.,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Emotional Turmoil,4.2,4,1.33,7,0,0,0.1,0.3,0,0,0,0,0.6,mTurk_synthetic_covid,0
671,i am worried about finances.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Everyday Decision Making,3.8,4,1.33,6,0.9,0,0.1,0,0,0,0,0,0,mTurk_synthetic,0
672,i am worried about graduating from college,1,100.00%,0,100.00%,School,School,Emotional Turmoil,4,4,1.9,6,0,0,0,0.1,0.9,0,0,0,0,mTurk_synthetic,1
673,i am worried about having enough money for the holidays.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Emotional Turmoil,4.6,5,1.02,6,0.9,0,0,0.1,0,0,0,0,0,mTurk_synthetic,0
674,I am worried about how long we will have to be socially distant.,1,60.00%,1,100.00%,Social Relationships,Other,Emotional Turmoil,2.4,4,1.96,8,0,0.4,0,0.3,0,0,0.3,0,0,mTurk_synthetic_covid,0
675,i am worried about how sick my daughter is.,1,100.00%,0,100.00%,Family Issues,"Health, Fatigue, or Physical Pain",Family Issues,8.6,9,1.85,8,0,0,0,0,0,0.5,0,0,0.5,mTurk_synthetic,1
676,I am worried about losing my job.,1,100.00%,1,80.00%,Financial Problem,Work,Financial Problem,6,6,1.41,6,0.1,0,0,0,0,0,0,0.9,0,mTurk_synthetic_covid,0
677,i am worried about money.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Everyday Decision Making,5.8,6,2.14,6,0.9,0,0.1,0,0,0,0,0,0,mTurk_synthetic,0
678,I am worried about my health from corona virus.,1,100.00%,1,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",School,6,6,0.89,5,0,0,0,0,0.2,0,0.2,0,0.6,mTurk_synthetic_covid,0
679,I am worried about my stepfather who is the primary income provider being laid off.,1,100.00%,0,60.00%,Financial Problem,Financial Problem,Family Issues,6.6,7,1.36,9,0.6,0,0,0,0,0.3,0,0.1,0,mTurk_synthetic_covid,0
680,I am worried about not able to go out and shop because of increasing Covid-19 cases,1,80.00%,1,100.00%,Emotional Turmoil,"Health, Fatigue, or Physical Pain",Everyday Decision Making,2.2,2,1.33,5,0,0.2,0.4,0,0,0,0,0,0.4,mTurk_synthetic_covid,0
681,i am worried about not being able to finish my work in time.,1,100.00%,0,100.00%,Work,Work, ,4.8,4,1.72,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic,0
682,I am worried about pandamic,1,100.00%,1,100.00%,Financial Problem,"Health, Fatigue, or Physical Pain",Emotional Turmoil,5.4,6,1.36,6,0,0.2,0,0.3,0,0,0,0,0.5,mTurk_synthetic_covid,0
683,i am worried about sticking to my diet.,1,100.00%,0,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Everyday Decision Making,3,3,2.19,6,0,0,0.1,0,0,0,0,0,0.9,mTurk_synthetic,1
684,"I am worried about the coronavirus and economy, how about you?",1,100.00%,1,100.00%,Everyday Decision Making,Financial Problem,"Health, Fatigue, or Physical Pain",2.6,3,1.02,8,0.4,0.1,0,0.2,0,0,0,0,0.3,mTurk_synthetic_covid,0
685,I am worried about the Coronavirus and how it will affect my family.,1,100.00%,1,80.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Family Issues,5.4,7,2.58,8,0,0.1,0,0,0,0.3,0,0,0.6,mTurk_synthetic_covid,0
686,i am worried about trump being re-elected.,1,100.00%,0,100.00%,Other,Other,Emotional Turmoil,5.4,5,2.65,5,0,0.8,0,0.2,0,0,0,0,0,mTurk_synthetic,0
687,I am worried that I am going to lose my job.,1,100.00%,1,60.00%,Work,Work,Financial Problem,6.2,6,2.32,7,0.2,0,0,0.2,0,0,0.2,0.4,0,mTurk_synthetic_covid,0
688,i applied for disability awhile back and i got a denial letter in the mail today.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Emotional Turmoil,4.6,5,2.06,7,0.6,0,0,0.2,0,0,0,0.1,0.1,mTurk_synthetic,0
689,i ask about the situation as well as possible.,0,60.00%,0,100.00%,Financial Problem,Other,Everyday Decision Making,0.8,0,1.17,5,0,0.6,0.2,0,0.2,0,0,0,0,mTurk_synthetic,0
690,I been stressed out about work lately.,1,100.00%,0,100.00%,Work,Work, ,4.4,4,1.62,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic_covid,0
691,I been trying to cook dinner for the kids and there going crazy.,1,100.00%,0,80.00%,Family Issues,Family Issues,Emotional Turmoil,3,3,0.63,6,0,0,0,0.1,0,0.9,0,0,0,mTurk_synthetic_covid,0
692,I betrayed my best friend.,1,100.00%,0,60.00%,Social Relationships,Social Relationships,Other,5.6,6,1.62,6,0,0.1,0,0,0,0,0.9,0,0,mTurk_synthetic_covid,0
693,i broke up with my girlfriend and its been really stressing me out.,1,100.00%,0,100.00%,Emotional Turmoil,Social Relationships,Emotional Turmoil,6.4,6,2.06,6,0,0,0,0.1,0,0,0.9,0,0,mTurk_synthetic,1
694,I can not job and it is stressing me lately.,1,100.00%,0,60.00%,Financial Problem,Work,Financial Problem,6.8,6,1.94,6,0.3,0,0,0,0,0,0,0.7,0,mTurk_synthetic_covid,0
695,i cannot get anyone at the main office at work to answer my questions.,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,4.4,4,2.42,5,0,0,0,0.2,0,0,0,0.8,0,mTurk_synthetic,0
696,I can't believe my wife put pasta in the chilli..,1,60.00%,0,100.00%,Work,Family Issues,Other,2.2,1,2.4,6,0,0.3,0,0,0,0.6,0.1,0,0,mTurk_synthetic_covid,0
697,I can't come up with a great idea,1,60.00%,0,80.00%,Everyday Decision Making,Other,Everyday Decision Making,2.8,3,2.48,6,0,0.5,0.3,0.2,0,0,0,0,0,mTurk_synthetic_covid,0
698,i cant cook properly,1,60.00%,0,100.00%,Financial Problem,Other,Everyday Decision Making,1.2,1,1.47,5,0,0.6,0.4,0,0,0,0,0,0,mTurk_synthetic,0
699,i can't decide what to cook,1,80.00%,0,100.00%,Everyday Decision Making,Everyday Decision Making,Work,2,1,1.79,6,0,0.1,0.7,0,0,0,0,0.2,0,mTurk_synthetic,1
700,i can't figure out what to cook for dinner tonight,1,80.00%,0,100.00%,Everyday Decision Making,Everyday Decision Making,Other,1.8,1,1.47,6,0,0.1,0.9,0,0,0,0,0,0,mTurk_synthetic,1
701,i cant find a babysitter and i have to go to work.,1,100.00%,0,100.00%,Emotional Turmoil,Work,Family Issues,4.6,4,1.62,9,0,0,0.2,0,0,0.4,0,0.4,0,mTurk_synthetic,0
702,i can't find a full time job.,1,100.00%,0,100.00%,Work,Work,Everyday Decision Making,6.4,7,0.8,6,0.1,0,0.1,0,0,0,0,0.8,0,mTurk_synthetic,0
703,I can't find a job because of the coronavirus pandemic,1,100.00%,1,100.00%,Work,Work,Financial Problem,6.6,7,2.06,8,0.2,0.1,0,0,0,0,0,0.7,0,mTurk_synthetic_covid,0
704,i can't find a job in this pitiful area and need to leave here,1,100.00%,0,100.00%,Financial Problem,Work,Social Relationships,5.8,6,1.6,6,0.1,0,0,0,0,0,0.2,0.7,0,mTurk_synthetic,0
705,i can't find my classroom in school and worry about being locked out...,1,100.00%,0,100.00%,School,School,Emotional Turmoil,3,3,1.1,7,0,0,0.1,0.1,0.8,0,0,0,0,mTurk_synthetic,1
706,i can't get anyone else in the tulsa lp to do anything.,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,3.2,3,1.47,7,0,0,0.1,0.2,0,0,0.2,0.3,0.2,mTurk_synthetic,0
707,I can't get groceries for our family,1,100.00%,0,60.00%,Other,Financial Problem,Family Issues,5.8,6,0.75,10,0.4,0,0.2,0,0,0.3,0,0,0.1,mTurk_synthetic_covid,0
708,i can't get my child to study.,1,100.00%,0,100.00%,School,Family Issues,Everyday Decision Making,3.6,3,1.62,6,0,0,0.2,0,0.1,0.7,0,0,0,mTurk_synthetic,1
709,i cant help william,1,100.00%,0,100.00%,Family Issues,Social Relationships,Family Issues,4.4,4,1.62,7,0,0,0,0.2,0,0.2,0.6,0,0,popbots_live,1
710,"i can't really type it out, to much! but work, life family",1,100.00%,0,100.00%,Work,Work,Family Issues,5.8,5,2.64,9,0,0,0.2,0,0,0.4,0,0.4,0,mTurk_synthetic,0
711,i can't seem to catch up on my medical bills.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,"Health, Fatigue, or Physical Pain",4.6,4,1.62,9,0.4,0,0,0,0,0,0.2,0,0.4,mTurk_synthetic,0
712,i can't seem to figure out how i am going to get through this month.,1,100.00%,0,100.00%,Everyday Decision Making,Emotional Turmoil,Work,5.8,5,1.47,7,0.2,0,0.2,0.4,0,0,0,0.2,0,mTurk_synthetic,1
713,i can't seem to find a job,1,100.00%,0,100.00%,Work,Work,Financial Problem,4.6,5,2.24,8,0.3,0,0,0,0,0,0.2,0.5,0,mTurk_synthetic,0
714,i can't seem to find a job anywhere.,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,5.8,6,1.72,7,0.1,0,0.1,0.2,0,0,0,0.6,0,mTurk_synthetic,0
715,I can't seem to find any toilet paper in stores.,1,60.00%,1,80.00%,Everyday Decision Making,Other,Family Issues,2.4,1,2.58,6,0,0.4,0.2,0,0,0.3,0,0,0.1,mTurk_synthetic_covid,0
716,i can't seem to get caught up on anything around the house.,1,100.00%,0,100.00%,"Health, Fatigue, or Physical Pain",Everyday Decision Making,Family Issues,3,4,1.26,6,0,0.2,0.5,0,0,0.3,0,0,0,mTurk_synthetic,1
717,I cant stand being so far away from everyone. I miss you!,1,80.00%,1,80.00%,Social Relationships,Social Relationships,Financial Problem,3.8,5,2.14,6,0.2,0.2,0,0.1,0,0,0.5,0,0,mTurk_synthetic_covid,0
718,i can't stand my work. they keep dumping on me i can't handle it!!!,1,100.00%,0,100.00%,Work,Work,"Health, Fatigue, or Physical Pain",6,7,2.37,6,0,0,0,0,0,0,0,0.9,0.1,mTurk_synthetic,0
719,i cooked a turkey upside down. the meat was moist but now my family's teasing me.,1,80.00%,0,100.00%,Emotional Turmoil,Family Issues,Other,2.4,2,2.42,8,0,0.2,0.1,0.2,0.2,0.3,0,0,0,mTurk_synthetic,0
720,i could not pass the exam because i did not sleep enough last night.,1,100.00%,0,100.00%,School,School,"Health, Fatigue, or Physical Pain",5.8,5,1.6,10,0,0,0,0,0.5,0,0,0,0.5,mTurk_synthetic,1
721,i currently am just very busy. i don't have time for anything but work.,1,100.00%,0,100.00%,Financial Problem,Work,Financial Problem,5,5,1.26,6,0.2,0.1,0,0,0,0,0,0.7,0,mTurk_synthetic,0
722,i did not have a good day at work.  i am behind in my work and i have a,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,3.4,3,1.02,5,0,0,0,0.2,0,0,0,0.8,0,mTurk_synthetic,0
723,I did terrible on an exam yesterday.,1,100.00%,0,100.00%,School,School,Emotional Turmoil,4.6,4,2.42,6,0,0,0,0.1,0.9,0,0,0,0,mTurk_synthetic_covid,0
724,i didn't get the position i want at work. they lied to me!,1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,6,5,1.26,6,0,0,0,0.1,0,0,0,0.9,0,mTurk_synthetic,0
725,i didn't have the income that i expected to have for my bills,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Family Issues,5.8,6,1.6,5,0.8,0,0,0,0,0.2,0,0,0,mTurk_synthetic,1
726,i do not know if i want to go back to work yet.,1,60.00%,0,100.00%,Emotional Turmoil,Work,Other,2.2,2,2.04,7,0,0.3,0.1,0,0,0,0,0.6,0,mTurk_synthetic,0
727,i do not know what to eat,1,60.00%,0,100.00%,Everyday Decision Making,Everyday Decision Making,Other,0.8,1,0.75,7,0,0.3,0.6,0,0,0,0,0,0.1,mTurk_synthetic,1
728,"i do not like my job, my boss is lazy and i get blamed for everything.",1,100.00%,0,100.00%,Work,Work,Emotional Turmoil,5.6,7,2.33,7,0,0,0,0.1,0,0,0.1,0.8,0,mTurk_synthetic,0
729,i don't even know where to begin,1,100.00%,0,100.00%,Other,Other,Everyday Decision Making,5.6,5,2.58,6,0,0.7,0.3,0,0,0,0,0,0,mTurk_synthetic,0
730,i don't have a scenario,0,100.00%,0,100.00%,Other,Other, ,0,0,0,5,0,1,0,0,0,0,0,0,0,popbots_live,0
731,I don't have any motivation to do my school work and have nothing to do,1,100.00%,0,60.00%,School,School,Social Relationships,3.8,3,1.72,8,0,0,0.1,0.2,0.5,0,0.2,0,0,mTurk_synthetic_covid,0
732,i dont have enough money and i fear homelessness.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,"Health, Fatigue, or Physical Pain",5.6,5,1.85,7,0.8,0,0,0.1,0,0,0,0,0.1,mTurk_synthetic,0
733,i don't have enough money for vacation,1,80.00%,0,100.00%,Financial Problem,Financial Problem,Other,1.4,1,1.02,6,0.7,0.2,0.1,0,0,0,0,0,0,mTurk_synthetic,0
734,i don't have enough time to cook so i spend too much money on restaurants,1,80.00%,0,100.00%,Financial Problem,Financial Problem,Other,3.4,3,2.65,7,0.6,0.2,0.2,0,0,0,0,0,0,mTurk_synthetic,1
735,i don't have insurance and i have a huge bill from the emergency room.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,"Health, Fatigue, or Physical Pain",8.2,8,0.75,8,0.7,0,0,0,0,0,0,0,0.3,mTurk_synthetic,0
736,I don't know how I'm going to get all my work done.,1,100.00%,0,80.00%,Work,Work,School,5.2,6,1.83,6,0,0,0.1,0,0.3,0,0,0.6,0,mTurk_synthetic_covid,0
737,I don't know how long COVID-19 will affect my job,1,100.00%,1,100.00%,Work,Work,Financial Problem,6.2,6,2.32,7,0.1,0.1,0,0,0,0,0,0.7,0.1,mTurk_synthetic_covid,0
738,i dont know how long to boil potatoes for,1,60.00%,0,100.00%,Other,Everyday Decision Making,Other,0.6,1,0.49,5,0,0.4,0.6,0,0,0,0,0,0,mTurk_synthetic,1
739,i dont know if i should be letting my kid watch so much tv.,1,60.00%,0,100.00%,Family Issues,Other,Financial Problem,2.8,1,3.06,5,0.2,0.6,0,0,0,0.2,0,0,0,mTurk_synthetic,0
740,I don't know if I will be losing my job due to the pandemic. I am really worried.,1,100.00%,1,100.00%,Work,Work,Emotional Turmoil,5,5,1.26,7,0.1,0,0,0.2,0,0,0.2,0.4,0.1,mTurk_synthetic_covid,0
741,i dont know if i will have enough money for december rent.,1,100.00%,0,100.00%,Financial Problem,Financial Problem, ,5.8,7,2.48,5,1,0,0,0,0,0,0,0,0,mTurk_synthetic,0
742,i don't know if i will have enouh money next week to buy groceries,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Emotional Turmoil,6.8,7,1.33,5,0.8,0,0,0.2,0,0,0,0,0,mTurk_synthetic,1
743,i don't know if i'll have a job next year.,1,100.00%,0,100.00%,Work,Work,Financial Problem,4.4,4,1.5,6,0.1,0,0,0,0,0,0,0.9,0,mTurk_synthetic,0
744,i dont know what i want for dinner!,1,60.00%,0,100.00%,Everyday Decision Making,Everyday Decision Making,Other,1.6,1,2.24,5,0,0.4,0.6,0,0,0,0,0,0,mTurk_synthetic,1
745,i don't know what to make for dinner,1,80.00%,0,100.00%,Everyday Decision Making,Everyday Decision Making,Other,1,1,0.63,5,0,0.2,0.8,0,0,0,0,0,0,mTurk_synthetic,1
746,I don't know when I am going to be able to go back to work because of COVID-19.,1,80.00%,1,100.00%,Emotional Turmoil,Work,Emotional Turmoil,5,6,3.16,6,0,0.2,0,0.3,0,0,0,0.5,0,mTurk_synthetic_covid,0
747,i don't know where i should work,1,80.00%,0,100.00%,Work,Work,Other,2.8,3,1.6,6,0,0.2,0.1,0,0,0,0,0.7,0,mTurk_synthetic,0
748,"i don't know, really. i've just been getting clients emailing me and calling me",1,80.00%,0,100.00%,Work,Work,Other,2.6,3,1.85,5,0.2,0.2,0,0.2,0,0,0,0.4,0,mTurk_synthetic,0
749,i don't let stress get to me.,0,80.00%,0,100.00%,School,Other,Everyday Decision Making,0.2,0,0.4,5,0,0.8,0.2,0,0,0,0,0,0,mTurk_synthetic,0
750,i don't seem to have enough time during the day to finish pages on my bullet journal.,1,80.00%,0,100.00%,Emotional Turmoil,Work,Other,3,2,2.37,6,0,0.2,0.1,0.2,0,0,0.2,0.3,0,mTurk_synthetic,0
751,i dont want to leave my baby to go to work but i need to work,1,100.00%,0,100.00%,Family Issues,Work,Emotional Turmoil,4.8,6,1.94,7,0.1,0,0.1,0.2,0,0.1,0,0.5,0,mTurk_synthetic,0
752,"i drink too much alcohol, and i fear it impacting my health.",1,100.00%,0,100.00%,"Health, Fatigue, or Physical Pain","Health, Fatigue, or Physical Pain",Emotional Turmoil,7.2,7,1.72,8,0,0,0.1,0.2,0,0,0,0,0.7,mTurk_synthetic,1
753,i embarrassed myself today,1,100.00%,0,100.00%,Social Relationships,Everyday Decision Making,Emotional Turmoil,2,2,0.63,5,0,0,0.4,0.4,0,0,0.2,0,0,popbots_live,1
754,I enjoy being home with the family but I miss my little time alone.,1,80.00%,1,80.00%,Emotional Turmoil,Family Issues,Other,1.6,2,1.02,6,0,0.2,0,0,0,0.7,0.1,0,0,mTurk_synthetic_covid,0
755,I failed my test,1,100.00%,0,80.00%,School,School,"Health, Fatigue, or Physical Pain",3.4,2,1.96,5,0,0,0,0,0.8,0,0,0,0.2,mTurk_synthetic_covid,0
756,"i feel jealous of other girls, and worried my husband might be attracted to them.",1,100.00%,0,100.00%,Emotional Turmoil,Social Relationships,Family Issues,4,3,2.1,9,0,0,0,0.2,0,0.3,0.5,0,0,mTurk_synthetic,1
757,"i feel like a bad mom, why is being a mom so hard?",1,100.00%,0,100.00%,Family Issues,Family Issues,Emotional Turmoil,5.4,5,1.02,8,0.2,0,0.1,0.3,0,0.4,0,0,0,mTurk_synthetic,1
758,i feel like i cant balance between all of my reponsibilities,1,100.00%,0,100.00%,Work,Everyday Decision Making,Financial Problem,4,3,2.1,6,0.2,0.1,0.4,0.1,0,0,0,0.2,0,mTurk_synthetic,1
759,i feel like i don't have enough money saved up for emergencies.,1,100.00%,0,100.00%,Financial Problem,Financial Problem,Everyday Decision Making,4,4,1.1,6,0.9,0,0.1,0,0,0,0,0,0,mTurk_synthetic,0
760,i feel like i don't have enough time to myself.,1,80.00%,0,100.00%,"Health, Fatigue, or Physical Pain",Other,"Health, Fatigue, or Physical Pain",3.4,4,2.33,7,0,0.3,0.1,0.2,0,0.1,0.1,0,0.2,mTurk_synthetic,0
761,i feel like i have been just working all the time and no fun.,1,100.00%,0,100.00%,Work,Work,Social Relationships,4.4,4,1.36,6,0,0,0,0.1,0,0,0.2,0.7,0,mTurk_synthetic,0
762,i feel like i've wasted the day by napping on my day off,1,60.00%,0,100.00%,Work,Other,Everyday Decision Making,1.8,1,2.23,6,0,0.6,0.2,0.1,0,0,0,0,0.1,popbots_live,0
763,I feel like my Manager is unfair,1,100.00%,0,100.00%,Work,Work,Social Relationships,3.8,3,1.47,6,0,0,0,0,0,0,0.1,0.9,0,mTurk_synthetic_covid,0
764,i feel like odd,1,60.00%,0,100.00%,Emotional Turmoil,Other,Social Relationships,1,1,0.89,7,0,0.5,0.1,0,0,0,0.2,0,0.2,mTurk_synthetic,0
765,i feel lonely,1,100.00%,0,100.00%,Social Relationships,Emotional Turmoil,Social Relationships,5.8,6,2.32,9,0,0,0,0.6,0,0,0.4,0,0,popbots_live,1
766,I feel lonely because I'm single.,1,100.00%,0,80.00%,Social Relationships,Emotional Turmoil,Social Relationships,4.2,5,1.47,6,0,0,0,0.5,0,0,0.5,0,0,mTurk_synthetic_covid,0
767,i feel so worried about the situation an i will try to compromise her.,1,100.00%,0,100.00%,Family Issues,Emotional Turmoil,Social Relationships,3.2,3,1.72,7,0,0,0,0.4,0,0.2,0.4,0,0,mTurk_synthetic,1
768,I feel stressed about losing income over COVID-19,1,100.00%,1,100.00%,Financial Problem,Financial Problem, ,4.8,6,1.47,5,1,0,0,0,0,0,0,0,0,mTurk_synthetic_covid,0
769,I feel that I am overwhelmed so much to do and no time to do it!,1,100.00%,0,100.00%,Everyday Decision Making,Emotional Turmoil,Everyday Decision Making,3.8,3,1.72,7,0,0.1,0.2,0.5,0.1,0,0,0.1,0,mTurk_synthetic_covid,0
770,I feel that i have alot of work pile that i am suppose to finish by weekend,1,100.00%,0,100.00%,Work,Work, ,4.2,5,2.04,5,0,0,0,0,0,0,0,1,0,mTurk_synthetic_covid,0
771,i feel very bad please help me,1,100.00%,0,100.00%,Financial Problem,Emotional Turmoil,"Health, Fatigue, or Physical Pain",6,6,1.79,6,0,0.1,0,0.7,0,0,0,0,0.2,mTurk_synthetic,1
772,i feel very streesful in the situation.i can't  time manage.,1,80.00%,0,100.00%,"Health, Fatigue, or Physical Pain",Everyday Decision Making,Other,3.2,3,1.94,6,0.1,0.2,0.6,0,0,0,0,0.1,0,mTurk_synthetic,1
773,i feel very stressed i faced many problem i do't know how to handle it please help me de,1,100.00%,0,100.00%,Emotional Turmoil,Emotional Turmoil,Other,5,4,2.1,5,0,0.2,0,0.6,0,0,0.2,0,0,mTurk_synthetic,1
774,i found nothing at the beach today,1,60.00%,0,100.00%,"Health, Fatigue, or Physical Pain",Other,Work,3,1,3.35,5,0,0.4,0,0.2,0,0,0.2,0.2,0,mTurk_synthetic,0
775,i found out a colleague is quitting.,1,80.00%,0,100.00%,Work,Work,Social Relationships,1.6,1,1.36,8,0,0.1,0,0.1,0,0,0.3,0.5,0,popbots_live,0
